Experiment,Period,Player_ID,Demand,Wholesale_p.,Player_ID.1,Stock,Sales,Leftovers,Unmet_Demand,Realized_Mfg_Profit,Realized_Retailer_Profit,Realized_Mfg_Profit_Share,Optimal_Stock,Under/Overstock_wrt_Optimal,Expected_Sales,Expected_Leftovers,Expected_Retailer_Profit,Expected_Mfg_Profit,Expected_Mfg._Profit_Share,Predicted_Sales,Predicted_Leftovers,Predicted_Retailer_Profit,Predicted_Mfg_Profit,Realized_Retailer_Profit.1,Predicted_Mfg._Profit_Share,Behavioral_Category
1,28,Manufacturer 2,83,7,Retailer 2,120,83,37,0,480,156,0.7547169811320755,91,29,95.85,-4.849999999999994,310.1999999999998,480,0.607441154138193,82.8,8.200000000000003,356.5999999999999,364,156,0.505134610047183,4
1,29,Manufacturer 2,147,7,Retailer 2,100,100,0,47,400,500,0.4444444444444444,91,9,87.75,3.25,353.0,400,0.5312084993359893,82.8,8.200000000000003,356.5999999999999,364,500,0.505134610047183,3
1,30,Manufacturer 2,115,7,Retailer 2,110,110,0,5,440,550,0.4444444444444444,91,19,92.3,-1.2999999999999972,337.5999999999999,440,0.565843621399177,82.8,8.200000000000003,356.5999999999999,364,550,0.505134610047183,4
1,31,Manufacturer 2,139,8,Retailer 2,86,86,0,53,430,344,0.5555555555555556,83,3,79.7,3.299999999999997,268.4000000000001,430,0.615693012600229,77.72,5.280000000000001,268.64,415,344,0.6070446433795565,3
1,32,Manufacturer 2,59,8,Retailer 2,88,59,29,0,440,4,0.990990990990991,83,5,80.97,2.030000000000001,267.64,440,0.6217850884630604,77.72,5.280000000000001,268.64,415,4,0.6070446433795565,3
1,33,Manufacturer 2,122,8,Retailer 2,71,71,0,51,355,284,0.5555555555555556,83,-12,68.9,14.099999999999994,258.80000000000007,355,0.5783642880417074,77.72,5.280000000000001,268.64,415,284,0.6070446433795565,1
1,34,Manufacturer 2,92,7,Retailer 2,115,92,23,0,460,299,0.6060606060606061,91,24,94.2,-3.200000000000003,325.4000000000001,460,0.5856888209829385,82.8,8.200000000000003,356.5999999999999,364,299,0.505134610047183,4
1,35,Manufacturer 2,93,7,Retailer 2,120,93,27,0,480,276,0.6349206349206349,91,29,95.85,-4.849999999999994,310.1999999999998,480,0.607441154138193,82.8,8.200000000000003,356.5999999999999,364,276,0.505134610047183,4
1,36,Manufacturer 2,136,7,Retailer 2,110,110,0,26,440,550,0.4444444444444444,91,19,92.3,-1.2999999999999972,337.5999999999999,440,0.565843621399177,82.8,8.200000000000003,356.5999999999999,364,550,0.505134610047183,4
1,37,Manufacturer 2,116,7,Retailer 2,105,105,0,11,420,525,0.4444444444444444,91,14,90.15,0.8499999999999943,346.8000000000002,420,0.5477308294209702,82.8,8.200000000000003,356.5999999999999,364,525,0.505134610047183,4
1,38,Manufacturer 2,105,7,Retailer 2,115,105,10,0,460,455,0.5027322404371585,91,24,94.2,-3.200000000000003,325.4000000000001,460,0.5856888209829385,82.8,8.200000000000003,356.5999999999999,364,455,0.505134610047183,4
1,39,Manufacturer 2,80,7,Retailer 2,110,80,30,0,440,190,0.6984126984126984,91,19,92.3,-1.2999999999999972,337.5999999999999,440,0.565843621399177,82.8,8.200000000000003,356.5999999999999,364,190,0.505134610047183,4
1,40,Manufacturer 2,75,7,Retailer 2,100,75,25,0,400,200,0.6666666666666666,91,9,87.75,3.25,353.0,400,0.5312084993359893,82.8,8.200000000000003,356.5999999999999,364,200,0.505134610047183,3
1,1,Manufacturer 3,122,8,Retailer 3,61,61,0,61,305,244,0.5555555555555556,83,-22,60.45,22.55,237.4000000000001,305,0.562315634218289,77.72,5.280000000000001,268.64,415,244,0.6070446433795565,0
1,2,Manufacturer 3,144,8,Retailer 3,60,60,0,84,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,3,Manufacturer 3,57,8,Retailer 3,59,57,2,0,295,212,0.5818540433925049,83,-24,58.64,24.36,231.6800000000001,295,0.5601124022176653,77.72,5.280000000000001,268.64,415,212,0.6070446433795565,0
1,4,Manufacturer 3,149,10,Retailer 3,0,0,0,149,0,0,0.0,66,-66,0.0,66.0,0.0,0,0.0,64.8,1.2000000000000028,117.59999999999992,462,0,0.7971014492753624,0
1,5,Manufacturer 3,135,10,Retailer 3,0,0,0,135,0,0,0.0,66,-66,0.0,66.0,0.0,0,0.0,64.8,1.2000000000000028,117.59999999999992,462,0,0.7971014492753624,0
1,6,Manufacturer 3,94,9,Retailer 3,0,0,0,94,0,0,0.0,75,-75,0.0,75.0,0.0,0,0.0,72.0,3.0,189.0,450,0,0.704225352112676,0
1,7,Manufacturer 3,143,10,Retailer 3,0,0,0,143,0,0,0.0,66,-66,0.0,66.0,0.0,0,0.0,64.8,1.2000000000000028,117.59999999999992,462,0,0.7971014492753624,0
1,8,Manufacturer 3,66,7,Retailer 3,99,66,33,0,396,99,0.8,91,8,87.24,3.760000000000005,353.8799999999999,396,0.5280844935189631,82.8,8.200000000000003,356.5999999999999,364,99,0.505134610047183,3
1,9,Manufacturer 3,123,7,Retailer 3,113,113,0,10,452,565,0.4444444444444444,91,22,93.47,-2.469999999999999,330.6399999999999,452,0.5775324542573853,82.8,8.200000000000003,356.5999999999999,364,565,0.505134610047183,4
1,10,Manufacturer 3,73,8,Retailer 3,61,61,0,12,305,244,0.5555555555555556,83,-22,60.45,22.55,237.4000000000001,305,0.562315634218289,77.72,5.280000000000001,268.64,415,244,0.6070446433795565,0
1,11,Manufacturer 3,142,7,Retailer 3,119,119,0,23,476,595,0.4444444444444444,91,28,95.54,-4.540000000000006,313.48,476,0.602928509905254,82.8,8.200000000000003,356.5999999999999,364,595,0.505134610047183,4
1,12,Manufacturer 3,132,8,Retailer 3,65,65,0,67,325,260,0.5555555555555556,83,-18,63.95,19.05,247.4000000000001,325,0.5677847658979733,77.72,5.280000000000001,268.64,415,260,0.6070446433795565,0
1,13,Manufacturer 3,62,8,Retailer 3,63,62,1,0,315,240,0.5675675675675675,83,-20,62.22,20.78,242.64,315,0.5648805681084571,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,14,Manufacturer 3,136,7,Retailer 3,121,121,0,15,484,605,0.4444444444444444,91,30,96.15,-5.150000000000006,306.8000000000002,484,0.6120384420839655,82.8,8.200000000000003,356.5999999999999,364,605,0.505134610047183,4
1,15,Manufacturer 3,146,7,Retailer 3,113,113,0,33,452,565,0.4444444444444444,91,22,93.47,-2.469999999999999,330.6399999999999,452,0.5775324542573853,82.8,8.200000000000003,356.5999999999999,364,565,0.505134610047183,4
1,16,Manufacturer 3,95,7,Retailer 3,109,95,14,0,436,377,0.5362853628536285,91,18,91.89,-0.8900000000000006,339.68000000000006,436,0.5620874587458745,82.8,8.200000000000003,356.5999999999999,364,377,0.505134610047183,4
1,17,Manufacturer 3,139,7,Retailer 3,123,123,0,16,492,615,0.4444444444444444,91,32,96.72,-5.719999999999999,299.6399999999999,492,0.6214946187661059,82.8,8.200000000000003,356.5999999999999,364,615,0.505134610047183,4
1,18,Manufacturer 3,102,7,Retailer 3,101,101,0,1,404,505,0.4444444444444444,91,10,88.25,2.75,352.0,404,0.5343915343915344,82.8,8.200000000000003,356.5999999999999,364,505,0.505134610047183,4
1,19,Manufacturer 3,83,8,Retailer 3,51,51,0,32,255,204,0.5555555555555556,83,-32,51.0,32.0,204.0,255,0.5555555555555556,77.72,5.280000000000001,268.64,415,204,0.6070446433795565,0
1,20,Manufacturer 3,142,7,Retailer 3,129,129,0,13,516,645,0.4444444444444444,91,38,98.19,-7.189999999999998,275.28,516,0.6521079769487413,82.8,8.200000000000003,356.5999999999999,364,645,0.505134610047183,4
1,21,Manufacturer 3,80,8,Retailer 3,61,61,0,19,305,244,0.5555555555555556,83,-22,60.45,22.55,237.4000000000001,305,0.562315634218289,77.72,5.280000000000001,268.64,415,244,0.6070446433795565,0
1,22,Manufacturer 3,101,7,Retailer 3,111,101,10,0,444,435,0.5051194539249146,91,20,92.7,-1.7000000000000028,335.4000000000001,444,0.5696689761354887,82.8,8.200000000000003,356.5999999999999,364,435,0.505134610047183,4
1,23,Manufacturer 3,113,7,Retailer 3,131,113,18,0,524,439,0.5441329179646937,91,40,98.6,-7.599999999999994,266.1999999999998,524,0.6631232599341941,82.8,8.200000000000003,356.5999999999999,364,439,0.505134610047183,4
1,24,Manufacturer 3,104,7,Retailer 3,91,91,0,13,364,455,0.4444444444444444,91,0,82.8,8.200000000000003,356.5999999999999,364,0.505134610047183,82.8,8.200000000000003,356.5999999999999,364,455,0.505134610047183,2
1,25,Manufacturer 3,51,7,Retailer 3,111,51,60,0,444,-165,1.5913978494623655,91,20,92.7,-1.7000000000000028,335.4000000000001,444,0.5696689761354887,82.8,8.200000000000003,356.5999999999999,364,-165,0.505134610047183,4
1,26,Manufacturer 3,76,7,Retailer 3,107,76,31,0,428,163,0.7241962774957699,91,16,91.04,-0.0400000000000062,343.48,428,0.5547778296261731,82.8,8.200000000000003,356.5999999999999,364,163,0.505134610047183,4
1,27,Manufacturer 3,73,7,Retailer 3,135,73,62,0,540,-69,1.1464968152866242,91,44,99.3,-8.299999999999997,246.5999999999999,540,0.6864988558352404,82.8,8.200000000000003,356.5999999999999,364,-69,0.505134610047183,4
1,28,Manufacturer 3,83,7,Retailer 3,113,83,30,0,452,205,0.6879756468797564,91,22,93.47,-2.469999999999999,330.6399999999999,452,0.5775324542573853,82.8,8.200000000000003,356.5999999999999,364,205,0.505134610047183,4
1,29,Manufacturer 3,147,6,Retailer 3,141,141,0,6,423,846,0.3333333333333333,100,41,100.05,-0.0499999999999971,354.5999999999999,423,0.5439814814814815,87.75,12.25,453.0,300,846,0.398406374501992,4
1,30,Manufacturer 3,115,7,Retailer 3,103,103,0,12,412,515,0.4444444444444444,91,12,89.22,1.7800000000000011,349.6399999999999,412,0.5409379759466415,82.8,8.200000000000003,356.5999999999999,364,515,0.505134610047183,4
1,31,Manufacturer 3,139,8,Retailer 3,51,51,0,88,255,204,0.5555555555555556,83,-32,51.0,32.0,204.0,255,0.5555555555555556,77.72,5.280000000000001,268.64,415,204,0.6070446433795565,0
1,32,Manufacturer 3,59,7,Retailer 3,93,59,34,0,372,57,0.8671328671328671,91,2,83.97,7.030000000000001,356.64,372,0.5105401844532279,82.8,8.200000000000003,356.5999999999999,364,57,0.505134610047183,3
1,33,Manufacturer 3,122,7,Retailer 3,101,101,0,21,404,505,0.4444444444444444,91,10,88.25,2.75,352.0,404,0.5343915343915344,82.8,8.200000000000003,356.5999999999999,364,505,0.505134610047183,4
1,34,Manufacturer 3,92,7,Retailer 3,107,92,15,0,428,355,0.5466155810983397,91,16,91.04,-0.0400000000000062,343.48,428,0.5547778296261731,82.8,8.200000000000003,356.5999999999999,364,355,0.505134610047183,4
1,35,Manufacturer 3,93,7,Retailer 3,97,93,4,0,388,437,0.4703030303030303,91,6,86.19,4.810000000000002,355.28,388,0.5220105478419976,82.8,8.200000000000003,356.5999999999999,364,437,0.505134610047183,3
1,36,Manufacturer 3,136,8,Retailer 3,53,53,0,83,265,212,0.5555555555555556,83,-30,52.97,30.03,211.64,265,0.5559751594494797,77.72,5.280000000000001,268.64,415,212,0.6070446433795565,0
1,37,Manufacturer 3,116,7,Retailer 3,133,116,17,0,532,461,0.5357502517623364,91,42,98.97,-7.969999999999999,256.6399999999999,532,0.6745790221140192,82.8,8.200000000000003,356.5999999999999,364,461,0.505134610047183,4
1,38,Manufacturer 3,105,7,Retailer 3,127,105,22,0,508,371,0.5779294653014789,91,36,97.74,-6.739999999999995,283.8799999999999,508,0.6415113401020358,82.8,8.200000000000003,356.5999999999999,364,371,0.505134610047183,4
1,39,Manufacturer 3,80,7,Retailer 3,0,0,0,80,0,0,0.0,91,-91,0.0,91.0,0.0,0,0.0,82.8,8.200000000000003,356.5999999999999,364,0,0.505134610047183,0
