Episode,Round,CurrentState,ManufacturerAction,RetailerAction,ManufacturerReward,RetailerReward,NextState,ManufacturerEpsilon,RetailerEpsilon
0,75,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9904999999999968
0,76,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9903749999999968
0,77,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9902499999999967
0,78,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9901249999999967
0,79,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9899999999999967
0,80,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9898749999999966
0,81,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9897499999999966
0,82,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9896249999999965
0,83,"[4, 0, 0]",1,1,105,657.029702970297,"[4, 0, 0]",1.0,0.9894999999999965
0,84,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9893749999999965
0,85,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9892499999999964
0,86,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9891249999999964
0,87,"[4, 0, 0]",1,3,128,657.9405940594061,"[4, 0, 0]",1.0,0.9889999999999963
0,88,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9888749999999963
0,89,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9887499999999962
0,90,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.9886249999999962
0,91,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9884999999999962
0,92,"[4, 0, 0]",1,0,93,631.6039603960396,"[4, 0, 0]",1.0,0.9883749999999961
0,93,"[4, 0, 0]",1,2,117,665.3465346534654,"[4, 0, 0]",1.0,0.9882499999999961
0,94,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.988124999999996
0,95,"[4, 0, 0]",1,4,140,633.4653465346535,"[4, 0, 0]",1.0,0.987999999999996
